mountain_id,name,elev,prom,lat,lon,coord,is_volc,province,region,region_name,isl_grp,marker_size,source,data_quality_notes
sipanag_11.3271_122.1694,Mount Sipanag,1449.0,,11.3271041,122.1693608,"11.3271041, 122.1693608",,Antique,Region VI,Region VI  (Western Visayas),Visayas,medium,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sipit ulang_14.7557_121.1769,Mount Sipit Ulang,210.0,,14.75572,121.1769457,"14.75572, 121.1769457",,Rizal,Region IV-A,Region IV-A  (CALABARZON),Luzon,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sipitan_17.1619_120.8848,Mount Sipitan,2100.0,122.0,17.161912,120.8848462,"17.161912, 120.8848462",,Mountain Province,CAR,Cordillera Administrative Region  (CAR),Luzon,large,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
sipuaoc peak_5.5233_120.8917,Sipuaoc Peak,100.0,,5.5233254,120.8916827,"5.5233254, 120.8916827",,Sulu,Region IX,Region IX  (Zamboanga Peninsula),Mindanao,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sipusok_5.1518_120.1797,Mount Sipusok,198.0,,5.1518,120.1797,"5.1518, 120.1797",,Tawi-Tawi,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Mindanao,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sirao peak_10.4037_123.868,Sirao Peak,735.0,,10.4036821,123.8680262,"10.4036821, 123.8680262",,Cebu,Region VII,Region VII  (Central Visayas),Visayas,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
smooth hill_8.0273_117.0654,Smooth Hill,210.0,,8.0272865,117.065413,"8.0272865, 117.065413",,Palawan,MIMAROPA,MIMAROPA Region,Luzon,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sohoton_11.5614_125.2139,Mount Sohoton,522.0,,11.561389,125.213889,"11.561389, 125.213889",,Samar,Region VIII,Region VIII  (Eastern Visayas),Visayas,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sol_15.9833_119.9333,Mount Sol,162.0,,15.983333,119.933333,"15.983333, 119.933333",,Pangasinan,Region I,Region I  (Ilocos Region),Luzon,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
soldab_8.3333_125.1167,Mount Soldab,1452.0,,8.333333,125.116667,"8.333333, 125.116667",,Bukidnon,Region X,Region X  (Northern Mindanao),Mindanao,medium,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
