mountain_id,name,name_original,name_clean,alt_names,elev_final_m,elev_final_source,prom_final_m,prom_final_source,is_volc_final,is_volc_final_source,marker_size,expected_marker_size,marker_size_check,elev,prom,is_volc,coord,lat,lon,coord_source,prov,prov_psgc_code,region,region_name,region_code,isl_grp,prov_gis_original,region_gis_original,admin_note,peakvisor_name,peakvisor_elev_m,peakvisor_prom_m,peakvisor_elev_source_unit,peakvisor_prom_source_unit,peakvisor_elev_difference_m,peakvisor_elev_validation_flag,peakvisor_lat,peakvisor_lon,peakvisor_location_text,peakvisor_about_text,detail_url_peakvisor,url_source,detail_scrape_status,name_quickmap,lat_quickmap,lon_quickmap,elev_quickmap,quickmap_match,quickmap_distance_km,quickmap_validation_note,quickmap_status,quickmap_confidence,repo_name,repo_elev,repo_prom,repo_coord,repo_is_volc,repo_prov,repo_region,repo_isl_grp,repo_alt_names,repo_marker_size,repo_source_file,repo_match_status,repo_elev_difference,repo_elev_validation_flag,prom_enriched,prom_enrichment_source,is_volc_enriched,is_volc_enrichment_source,has_trail_info,trail_sentence,has_volcano_info,volcano_sentence,source,source_file,data_quality_notes,detail_url,osm_id,osm_type,osm_tags,geometry,index_right,dedup_group_id,dedup_action,dedup_original_index,dedup_row_score,peak_key,priority_group,elev_raw,source.1,best_group_elev,elev_filled_from_same_mountain,elev_after_same_mountain_fill,elev_after_external_fill,elev_external_source,elev_external_note,duplicate_donor_score,quickmap_score_attr,peakvisor_score_attr,repo_score_attr,attr_donor_score
navanga_20.3167_121.85,Mount Navanga,Mount Navanga,navanga,[],316.0,peakvisor_missing_elev_enrichment,,missing,,missing,small,small,correct,,,,"20.316667, 121.85",20.316667,121.85,OpenStreetMap,Batanes,200900000.0,Region II,Region II (Cagayan Valley),200000000.0,Luzon,Batanes,Cagayan Valley (Region II),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-cagayanvalleyregionii.0.01.json,,,332020030,node,"{'gns:dsg': 'MT', 'gns:uni': '-3364726', 'name': 'Mount Navanga', 'name:es': 'Monte Navanga', 'natural': 'peak', 'source': 'GNS', 'wikidata': 'Q30469517'}",POINT (121.85 20.316667),18.0,,keep_unique,1713,140.0,mount navanga | batanes | region ii,,,OpenStreetMap,,False,,,missing,no safe elevation source,0,0,0,0,0
navitas_8.1931_124.2974,Mount Navitas,Mount Navitas,navitas,[],600.0,original_elev,,missing,,missing,medium,medium,correct,600.0,,,"8.1931299, 124.2973852",8.1931299,124.2973852,OpenStreetMap,Lanao del Sur,1903600000.0,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),1900000000.0,Mindanao,Lanao del Sur,Autonomous Region of Muslim Mindanao (ARMM),,,,,,,,,,,,,,,,Mount Navitas,12.5111,122.0683,869.0,True,538.4718618535827,QuickMap match: coordinate differs; review,Review QuickMap coordinate mismatch,Low confidence - likely wrong name match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-autonomousregionofmuslimmindanaoarmm.0.01.json,,,10859523387,node,"{'ele': '600', 'name': 'Mount Navitas', 'natural': 'peak'}",POINT (124.2973852 8.1931299),29.0,,keep_unique,1714,145.9,mount navitas | lanao del sur | barmm,,600,OpenStreetMap,,False,600.0,600.0,already_filled_or_original,kept existing elevation,0,1,0,0,10
navitas_12.4892_122.042,Mount Navitas,Mount Navitas,navitas,[],265.0,original_elev,,missing,,missing,small,small,correct,265.0,,,"12.4892205, 122.0420366",12.4892205,122.0420366,OpenStreetMap,Romblon,1705900000.0,MIMAROPA,MIMAROPA Region,1700000000.0,Luzon,Romblon,MIMAROPA (Region IV-B),,,,,,,,,,,,,,,,Mount Navitas,12.5111,122.0683,869.0,True,3.748052614326367,QuickMap match: coordinate close,Validated by QuickMap,High confidence,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-mimaroparegionivb.0.01.json,,,332021241,node,"{'ele': '265', 'gns:dsg': 'MT', 'gns:uni': '-3364745', 'is_in:state': 'Romblon', 'name': 'Mount Navitas', 'natural': 'peak', 'source': 'GNS'}",POINT (122.0420366 12.4892205),27.0,,keep_unique,1715,190.9,mount navitas | romblon | mimaropa,,265,OpenStreetMap,,False,265.0,265.0,already_filled_or_original,kept existing elevation,0,3,0,0,30
nazagarry_16.7682_121.0111,Mount Nazagarry,Mount Nazagarry,nazagarry,[],1526.0,peakvisor_missing_elev_enrichment,,missing,,missing,large,large,correct,,,,"16.7681896, 121.011106",16.7681896,121.011106,OpenStreetMap,Ifugao,1402700000.0,CAR,Cordillera Administrative Region  (CAR),1400000000.0,Luzon,Ifugao,Cordillera Administrative Region (CAR),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-cordilleraadministrativeregioncar.0.01.json,,,332021738,node,"{'gns:dsg': 'MT', 'gns:uni': '-3364781', 'is_in:state': 'Ifugao', 'name': 'Mount Nazagarry', 'natural': 'peak', 'source': 'GNS'}",POINT (121.011106 16.7681896),10.0,,keep_unique,1716,140.0,mount nazagarry | ifugao | car,,,OpenStreetMap,,False,,,missing,no safe elevation source,0,0,0,0,0
negrito hill_17.8431_121.8292,Negrito Hill,Negrito Hill,negrito hill,[],268.0,peakvisor_missing_elev_enrichment,,missing,,missing,small,small,correct,,,,"17.843056, 121.829167",17.843056,121.829167,OpenStreetMap,Cagayan,201500000.0,Region II,Region II (Cagayan Valley),200000000.0,Luzon,Cagayan,Cagayan Valley (Region II),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-cagayanvalleyregionii.0.01.json,,,332019702,node,"{'gns:dsg': 'HLL', 'gns:uni': '-3364799', 'is_in:state': 'Cagayan', 'name': 'Negrito Hill', 'natural': 'peak', 'source': 'GNS', 'wikidata': 'Q30469454'}",POINT (121.829167 17.843056),19.0,,keep_unique,1717,140.0,negrito hill | cagayan | region ii,,,OpenStreetMap,,False,,,missing,no safe elevation source,0,0,0,0,0
negron_15.0929_120.3681,Mount Negron,Mount Negron,negron,[],1580.0,original_elev,1151.0,existing_row_value,,missing,large,large,correct,1580.0,,,"15.0928842, 120.3680854",15.0928842,120.3680854,OpenStreetMap,Zambales,307100000.0,Region III,Region III (Central Luzon),300000000.0,Luzon,Zambales,Central Luzon (Region III),,,,,,,,,,,,,,,,Mount Negron,15.09425,120.36729,1583.0,True,0.1742312199631996,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,Mount Negron,1583.0,1151.0,15°5′34″N 120°22′7″E,,['Pampanga' 'Zambales'],['Region III'],Luzon,[],large,pampanga.geojson,matched_repo_geojson,3.0,close_match,1151.0,repo_geojson,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-centralluzonregioniii.0.01.json,,,332020692,node,"{'ele': '1580', 'name': 'Mount Negron', 'natural': 'peak', 'source': 'GNS', 'wikidata': 'Q30469431', 'wikipedia': 'en:Mount Negron'}",POINT (120.3680854 15.0928842),81.0,dedup_00039,kept_best_consolidated,1718,240.2,mount negron | zambales | region iii,,1580,OpenStreetMap,,False,1580.0,1580.0,already_filled_or_original,kept existing elevation,0,3,0,3,39
ngub_6.5149_125.3196,Mount Ngub,Mount Ngub,ngub,[],320.0,original_elev,,missing,,missing,small,small,correct,320.0,,,"6.5148606, 125.3195804",6.5148606,125.3195804,OpenStreetMap,Davao del Sur,1102400000.0,Region XI,Region XI (Davao Region),1100000000.0,Mindanao,Davao del Sur,Davao Region (Region XI),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-davaoregionregionxi.0.01.json,,,332019497,node,"{'ele': '320', 'name': 'Mount Ngub', 'natural': 'peak', 'old_name': 'Mount Ngu-Ub', 'source:name': 'GNS'}",POINT (125.3195804 6.5148606),41.0,,keep_unique,1720,140.4,mount ngub | davao del sur | region xi,,320,OpenStreetMap,,False,320.0,320.0,already_filled_or_original,kept existing elevation,0,0,0,0,0
nilayapan_7.7017_125.3797,Mount Nilayapan,Mount Nilayapan,nilayapan,[],696.0,original_elev,,missing,,missing,medium,medium,correct,696.0,,,"7.701667, 125.379722",7.701667,125.379722,OpenStreetMap,Bukidnon,1001300000.0,Region X,Region X  (Northern Mindanao),1000000000.0,Mindanao,Bukidnon,Northern Mindanao (Region X),,,,,,,,,,,,,,,,Mount Nilayapan,7.70162,125.38028,696.0,True,0.061708769261165,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-northernmindanaoregionx.0.01.json,,,332021023,node,"{'ele': '696', 'gns:dsg': 'MT', 'gns:uni': '9259575', 'is_in:state': 'Bukidnon', 'name': 'Mount Nilayapan', 'natural': 'peak', 'source': 'GNS'}",POINT (125.379722 7.701667),34.0,,keep_unique,1721,190.9,mount nilayapan | bukidnon | region x,,696,OpenStreetMap,,False,696.0,696.0,already_filled_or_original,kept existing elevation,0,3,0,0,30
nimamandum_18.2039_122.2799,Mount Nimamandum,Mount Nimamandum,nimamandum,[],416.0,peakvisor_missing_elev_enrichment,,missing,,missing,small,small,correct,,,,"18.2038781, 122.2798527",18.2038781,122.2798527,OpenStreetMap,Cagayan,201500000.0,Region II,Region II (Cagayan Valley),200000000.0,Luzon,Cagayan,Cagayan Valley (Region II),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-cagayanvalleyregionii.0.01.json,,,332020406,node,"{'gns:dsg': 'MT', 'gns:uni': '-3364967', 'is_in:state': 'Cagayan', 'name': 'Mount Nimamandum', 'natural': 'peak', 'note': 'BlueArrow: Updated with NGA-GNS-09152010', 'source': 'GNS', 'wikidata': 'Q31481343'}",POINT (122.2798527 18.2038781),19.0,,keep_unique,1722,140.0,mount nimamandum | cagayan | region ii,,,OpenStreetMap,,False,,,missing,no safe elevation source,0,0,0,0,0
nipple peak_6.2833_125.2,Nipple Peak,Nipple Peak,nipple peak,[],,still_missing,,missing,,missing,unknown,unknown,correct,,,,"6.283333, 125.2",6.283333,125.2,OpenStreetMap,South Cotabato,1206300000.0,Region XII,Region XII (SOCCSKSARGEN),1200000000.0,Mindanao,South Cotabato,SOCCSKSARGEN (Region XII),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-soccsksargenregionxii.0.01.json,,,332021207,node,"{'gns:dsg': 'MT', 'gns:uni': '-3365018', 'is_in:state': 'Sarangani', 'name': 'Nipple Peak', 'natural': 'peak', 'source': 'GNS'}",POINT (125.2 6.283333),56.0,,keep_unique,1723,39.9,nipple peak | south cotabato | region xii,,,OpenStreetMap,,False,,,missing,no safe elevation source,0,0,0,0,0
