name,latitude,longitude,country,region,elevation_m,population,feature_type,geoname_id
Mount Guiwan,15.9442,121.2871,Philippines,Cagayan Valley,1910,0,mountain,1712201
Bayabas,16.58298,120.77404,Philippines,Cordillera,1910,0,mountain,7427141
Mount Matingoy,17.24664,121.17284,Philippines,Cordillera,1906,0,mountain,1701432
Mount Dalimonoc,15.975,121.24222,Philippines,Cagayan Valley,1905,0,mountain,1715980
Mount Polis,16.96296,121.02514,Philippines,Cordillera,1895,0,mountain,1693114
Mount Mandalagan,10.63665,123.2361,Philippines,Western Visayas,1884,0,mountain,1701980
Mount Tangulang,7.76556,125.22944,Philippines,Northern Mindanao,1879,0,mountain,1683082
Mount Banahao De Lucban,14.0753,121.5131,Philippines,Calabarzon,1875,0,mountain,1727598
Mount Oyayao,17.12306,121.25139,Philippines,Cordillera,1870,0,mountain,1696910
Cuernos Mountains,9.24418,123.1775,Philippines,Central Visayas,1869,0,mountain,1716616
Mount Patoc,17.146,120.9818,Philippines,Cordillera,1865,0,mountain,1694361
Mount Mabaho,9.30194,125.67972,Philippines,Caraga,1860,0,mountain,1704710
Mount Maranat,7.77369,124.56616,Philippines,Autonomous Region in Muslim Mindanao,1858,0,mountain,1701109
South Peak,8.1805,123.637,Philippines,Northern Mindanao,1850,0,peak,1685711
Mount Pulagon,17.683,121.1224,Philippines,Cordillera,1847,0,mountain,1692618
Mount Sinclair,12.8499,121.1031,Philippines,Mimaropa,1842,0,mountain,1686238
Mount Anacuao,16.2542,121.8891,Philippines,Central Luzon,1841,0,mountain,1730929
Mount Balac,17.4995,121.0092,Philippines,Cordillera,1832,0,mountain,1728638
Mount Bakoko,16.654,120.6888,Philippines,Cordillera,1832,0,mountain,1728710
Mount Gantung,8.9595,117.8174,Philippines,Mimaropa,1813,0,mountain,1713240
Mount Bukas,16.452,120.8619,Philippines,Cordillera,1792,0,mountain,7638807
Mount Ticmo,17.5022,120.9738,Philippines,Cordillera,1790,0,mountain,1682347
Mount Buaguan,17.515,121.0357,Philippines,Cordillera,1789,0,mountain,1723732
Mount Libo Libo,16.8975,120.6248,Philippines,Ilocos,1785,0,mountain,1706613
Mount Amo,17.0083,120.8226,Philippines,Cordillera,1770,0,mountain,1731026
Mount Aganmala,18.26089,120.89895,Philippines,Ilocos,1768,0,mountain,1732183
Mount Monserrat,17.04694,120.63528,Philippines,Ilocos,1763,0,mountain,1699301
Mount Nadango,17.1277,120.8556,Philippines,Cordillera,1756,0,mountain,7634337
Mount Atok,16.5646,120.6871,Philippines,Cordillera,1752,0,mountain,1729968
Mount Makelkelan,17.5462,121.1962,Philippines,Cordillera,1738,0,mountain,1703409
Mount Adalem,17.5255,121.1487,Philippines,Cordillera,1732,0,mountain,8031289
Mount Landargun,8.913,117.7859,Philippines,Mimaropa,1725,0,mountain,1707641
Mount Ambagyew,16.4077,120.8565,Philippines,Cordillera,1718,0,mountain,1731139
Mount Palali,16.4283,121.2216,Philippines,Cagayan Valley,1705,0,mountain,1696326
Mount Imugan,16.194,120.873,Philippines,Cagayan Valley,1685,0,mountain,1710924
Mount Dos Cuernos,17.53682,121.99845,Philippines,Cagayan Valley,1679,0,mountain,1714376
Mount Datu Masuyapa,8.23722,125.41639,Philippines,Caraga,1678,0,mountain,1715388
Mount Caual,16.4184,120.8789,Philippines,Cordillera,1678,0,mountain,1717745
Mount Antinangad,17.1571,120.8252,Philippines,Cordillera,1674,0,mountain,7633936
Mount Iba,15.3638,120.169,Philippines,Central Luzon,1670,0,mountain,1711434
Mount Cresta,17.28563,122.10594,Philippines,Cagayan Valley,1665,0,mountain,1716719
