name,latitude,longitude,country,region,elevation_m,population,feature_type,geoname_id
Mount Baua,18.23097,122.17195,Philippines,Cagayan Valley,1031,0,mountain,1725996
Mount Carol-an,9.84028,122.94722,Philippines,Central Visayas,1030,0,mountain,1718296
Mount Saint Paul,10.16361,118.90833,Philippines,Mimaropa,1027,0,mountain,1691042
Mount Arayat,15.2053,120.7422,Philippines,Central Luzon,1026,0,mountain,1730224
Mount Naltoot,17.8436,120.6074,Philippines,Ilocos,1026,0,mountain,1698456
Mount Balabac,11.6088,122.1435,Philippines,Western Visayas,1024,0,mountain,1728643
Mount Bontod Bato,5.91917,125.58333,Philippines,Davao Region,1018,0,mountain,1958800
Mount Abra de Ilog,13.45167,120.67139,Philippines,Mimaropa,1018,0,mountain,1966028
Mount Cahapatan,15.3195,120.1845,Philippines,Central Luzon,1016,0,mountain,1720897
Mount Culliang,16.8077,120.575,Philippines,Ilocos,1014,0,mountain,1716516
Capoas Mountain,10.8023,119.286,Philippines,Mimaropa,1012,0,mountain,1718635
Mount Iraya,20.46675,122.01147,Philippines,Cagayan Valley,1008,0,mountain,1710562
Mount Butioc,14.84389,121.31639,Philippines,Calabarzon,1007,0,mountain,1722210
Mount Binaca,6.94917,124.0175,Philippines,Autonomous Region in Muslim Mindanao,1004,0,mountain,1725202
Central Peak,9.63444,118.57111,Philippines,Mimaropa,994,0,mountain,1717474
Mount Banti Goolong,17.6756,120.5933,Philippines,Cordillera,990,0,mountain,1727018
Mount Agotay,11.5884,122.1506,Philippines,Western Visayas,988,0,mountain,1731948
Mount Mamot,6.97278,124.12556,Philippines,Autonomous Region in Muslim Mindanao,984,0,mountain,1702243
Mount Pawac,16.50868,121.08654,Philippines,Cagayan Valley,979,0,mountain,1694249
Mount Bitanhuan,10.3623,125.0706,Philippines,Eastern Visayas,976,0,mountain,1724732
Mount Kabatuan,9.46667,125.64278,Philippines,Caraga,975,0,mountain,1709937
Mount Quimalogong,15.1508,120.1445,Philippines,Central Luzon,974,0,mountain,1692129
Talayok Peak,6.242,124.91914,Philippines,Soccsksargen,974,0,mountain,1683998
Mount Lobo,13.6458,121.2929,Philippines,Calabarzon,972,0,mountain,1705876
Basilan Peak,6.5496,122.0723,Philippines,Autonomous Region in Muslim Mindanao,971,0,mountain,1726401
Mount Labbi,16.51518,121.07064,Philippines,Cagayan Valley,970,0,mountain,1708323
Mount Kamunay,14.6446,121.3158,Philippines,Calabarzon,967,0,mountain,1709296
Mount Siam Bundoc,14.84056,121.23581,Philippines,Central Luzon,966,0,mountain,1686900
Mount Igabon,11.229,122.3207,Philippines,Western Visayas,966,0,mountain,1711327
Mount Cancajanag,11.02056,124.78611,Philippines,Eastern Visayas,965,0,mountain,1719357
Mount Macolod,13.9206,121.0516,Philippines,Calabarzon,957,0,mountain,1704267
Addison Peak,8.8079,117.777,Philippines,Mimaropa,955,0,mountain,1732250
Mount Llave,10.4658,124.931,Philippines,Eastern Visayas,950,0,mountain,1705916
Mount Lambato,5.93667,125.61583,Philippines,Davao Region,942,0,mountain,1958795
Nagdayap Mountain,15.1303,120.1689,Philippines,Central Luzon,942,0,mountain,1698732
Mount Redondo,10.3526,125.6421,Philippines,Caraga,938,0,mountain,1691791
Mount Palaypay,10.6768,122.1226,Philippines,Western Visayas,938,0,mountain,1696158
Mount Maymasibi,14.82362,121.24556,Philippines,Calabarzon,938,0,mountain,7428622
Mount Igcalaya,11.14602,122.31971,Philippines,Western Visayas,935,0,mountain,1711260
Rounded Peak,14.80659,120.13733,Philippines,Central Luzon,935,0,mountain,1691458
Mount Alinyaban,13.4653,120.9215,Philippines,Mimaropa,934,0,mountain,1731408
Mount Silao,15.09703,121.15216,Philippines,Central Luzon,929,0,mountain,1686510
Mount Cantocloc,10.28944,125.22028,Philippines,Eastern Visayas,929,0,mountain,1718857
Knob Peak,12.4707,121.3414,Philippines,Mimaropa,924,0,mountain,1708571
Mount Pink,14.87859,120.11123,Philippines,Central Luzon,923,0,mountain,1693460
Mount Danes,14.78111,121.27528,Philippines,Calabarzon,918,0,mountain,1715735
Tagmungun Hump,6.49139,125.37944,Philippines,Davao Region,918,0,mountain,6569764
Mount Ampayao,17.18083,120.57278,Philippines,Ilocos,915,0,mountain,1730981
Mount Tinayunga,11.8239,121.9926,Philippines,Western Visayas,915,0,mountain,1681881
Mount Taco,5.91333,125.60222,Philippines,Davao Region,914,0,mountain,1958796
Mount Santa Clara,16.2319,121.02904,Philippines,Cagayan Valley,912,0,mountain,1688331
Mount Milo,10.5016,125.0534,Philippines,Eastern Visayas,910,0,mountain,1699694
Mount Nanuddalan,18.3016,121.2113,Philippines,Cordillera,908,0,mountain,1698231
Spike Peak,8.74151,117.59079,Philippines,Mimaropa,905,0,mountain,1685680
Mount Usigan,11.6287,122.1387,Philippines,Western Visayas,901,0,mountain,1680183
Quipit Peak,7.76167,122.49,Philippines,Zamboanga Peninsula,899,0,mountain,1691999
Tusk Peak,12.6799,120.9938,Philippines,Mimaropa,897,0,mountain,1680573
Mount Libadan,6.88167,125.11194,Philippines,Soccsksargen,894,0,mountain,1706755
Mount Salimbal Volcano,7.83944,124.85778,Philippines,Northern Mindanao,892,0,mountain,1995607
Mount Pitalong,7.52056,125.34528,Philippines,Davao Region,891,0,mountain,1996253
Mount Gumdalitan,10.88194,124.88861,Philippines,Eastern Visayas,890,0,mountain,1712135
Sharp Peak,8.9138,117.6634,Philippines,Mimaropa,889,0,mountain,1686919
Mount Inuman,14.88527,121.22781,Philippines,Central Luzon,889,0,mountain,1710630
Bald Dome Peak,6.30989,125.17137,Philippines,Soccsksargen,886,0,mountain,1728289
Mount Baboy,7.35278,124.665,Philippines,Soccsksargen,884,0,mountain,1978494
Mount Daingan,5.77139,125.49083,Philippines,Davao Region,882,0,mountain,1716161
Mount Cawayen,15.2008,120.1555,Philippines,Central Luzon,882,0,mountain,1717599
Mount Domire,14.7177,121.2666,Philippines,Calabarzon,873,0,mountain,1714464
Mount Navitas,12.5111,122.0683,Philippines,Mimaropa,869,0,mountain,1697857
Mount Naburac,10.86583,124.8775,Philippines,Eastern Visayas,868,0,mountain,1698882
Mount Apni,16.3943,120.4908,Philippines,Cordillera,867,0,mountain,1730344
Abongabong Peak,6.5032,121.9842,Philippines,Autonomous Region in Muslim Mindanao,863,0,peak,1732388
Mount Balut,5.39861,125.37444,Philippines,Davao Region,862,0,mountain,1727712
Mount Congcong,10.6926,122.1251,Philippines,Western Visayas,861,0,mountain,1716947
Mount Bayekngebang,17.3864,121.2108,Philippines,Cordillera,860,0,mountain,8031316
Razor Back Mountain,10.1256,123.1933,Philippines,Central Visayas,857,0,mountain,1691815
Mount Quebrada,18.5042,120.8245,Philippines,Ilocos,852,0,mountain,1692238
Mount Jinauanan,10.07437,125.20562,Philippines,Eastern Visayas,851,0,mountain,1710169
Mount Yaua,12.1528,124.9351,Philippines,Eastern Visayas,850,0,mountain,1718617
Mount Kanbinlio,10.3819,125.6369,Philippines,Caraga,850,0,mountain,1709434
Mount Dabukid,16.05917,121.69639,Philippines,Central Luzon,850,0,mountain,1716351
Mount Bagumbun,7.63753,126.2873,Philippines,Davao Region,847,0,mountain,1728880
Dome Peak,9.204,122.9684,Philippines,Central Visayas,846,0,mountain,1714474
Mount Maranat,14.86147,121.20207,Philippines,Central Luzon,845,0,mountain,1701108
Mount Ampaoid,7.87722,125.67389,Philippines,Davao Region,844,0,mountain,1730990
Mount Bintacan,12.795,123.9375,Philippines,Bicol Region,843,0,mountain,1724904
Mount Agong,12.4524,121.3713,Philippines,Mimaropa,842,0,mountain,1731968
Mount Palawdao,8.34833,124.94528,Philippines,Northern Mindanao,836,0,mountain,1696175
Mount Bajucan,17.9264,121.266,Philippines,Cordillera,835,0,mountain,1728751
Mount Sumacbao,15.19569,121.17626,Philippines,Central Luzon,833,0,mountain,1685356
Mount Mabolinoc,14.95254,120.28257,Philippines,Central Luzon,830,0,mountain,1704527
Mount Dorst,15.13708,120.43166,Philippines,Central Luzon,829,0,mountain,1714377
Gatong Mountain,7.80194,124.345,Philippines,Autonomous Region in Muslim Mindanao,828,0,mountain,1978701
Mount Calugon,5.88556,125.59222,Philippines,Davao Region,828,0,mountain,1958799
Mount Putianay,13.8093,123.4998,Philippines,Bicol Region,826,0,mountain,1692321
Mount Libe,7.65917,125.39361,Philippines,Northern Mindanao,821,0,mountain,1996227
Mount Maloyon,15.87389,121.06611,Philippines,Central Luzon,813,0,mountain,1702505
Mount Cabugao,7.53895,124.22924,Philippines,Autonomous Region in Muslim Mindanao,812,0,mountain,1721421
Mount Nailog,12.44233,122.50931,Philippines,Mimaropa,812,0,mountain,1698540
Mount Huraw,12.064,125.0459,Philippines,Eastern Visayas,811,0,mountain,1711456
Mount Pangpang,17.3643,120.6411,Philippines,Cordillera,811,0,mountain,1695216
Mount Tumatangas,5.997,120.96252,Philippines,Autonomous Region in Muslim Mindanao,811,0,mountain,1680756
Mount Catmon,10.9557,124.7478,Philippines,Eastern Visayas,809,0,mountain,1717832
Mount Piglagahan,8.85389,125.22778,Philippines,Northern Mindanao,809,0,mountain,1693901
Mount Bloomfield,10.18611,118.86333,Philippines,Mimaropa,808,0,mountain,1724591
Bee Hive Peak,6.155,125.38639,Philippines,Soccsksargen,808,0,mountain,1725638
Dalumpa Peak,15.4548,121.2626,Philippines,Central Luzon,805,0,peak,1715929
Mount Manalapan,7.70266,125.36419,Philippines,Northern Mindanao,804,0,mountain,1996218
Mount Masarat,14.7309,121.3134,Philippines,Calabarzon,798,0,mountain,1700734
Mount Balabac,14.82594,121.17903,Philippines,Central Luzon,793,0,mountain,1728674
Pantao Marig Hill,8.02889,124.24694,Philippines,Autonomous Region in Muslim Mindanao,792,0,mountain,6569489
Mount Masadsadoc,18.28339,120.77322,Philippines,Ilocos,790,0,mountain,1700799
Mount Tobo,7.09139,124.13861,Philippines,Autonomous Region in Muslim Mindanao,790,0,mountain,1681660
Talayan Mountain Range,6.74204,124.30685,Philippines,Autonomous Region in Muslim Mindanao,790,0,mountain,1684005
Mount Tagiptip,8.36139,124.73639,Philippines,Northern Mindanao,789,0,mountain,1684434
Mount Bagacay,14.2179,122.8234,Philippines,Bicol Region,787,0,mountain,1729700
Mount Sinumaan,6.0375,121.10083,Philippines,Autonomous Region in Muslim Mindanao,785,0,mountain,1686136
Mount Guimbarogtog,11.84298,121.98241,Philippines,Western Visayas,785,0,mountain,1712478
Mount Sagurum,12.7281,123.3522,Philippines,Bicol Region,784,0,mountain,1691059
Mount Maquineng,15.0716,120.1903,Philippines,Central Luzon,784,0,mountain,1701190
Mount Indang,7.56444,125.35056,Philippines,Davao Region,782,0,mountain,1996242
Tubo Hill,7.0475,124.17389,Philippines,Autonomous Region in Muslim Mindanao,782,0,mountain,1978277
Mount Tapha,18.33967,122.19855,Philippines,Cagayan Valley,779,0,mountain,1682954
Bukid Mountain,17.48432,122.13815,Philippines,Cagayan Valley,778,0,mountain,1723160
Mount Palnabao,6.00111,125.65528,Philippines,Davao Region,778,0,mountain,6569848
Mount Aborlan,9.5108,118.4669,Philippines,Mimaropa,775,0,mountain,1732384
Mount Tabernaculo,15.00967,121.17671,Philippines,Central Luzon,775,0,mountain,1685021
Mount Patugo,15.3747,120.0625,Philippines,Central Luzon,772,0,mountain,1694304
Mount Upao,11.6599,122.136,Philippines,Western Visayas,772,0,mountain,1680236
Mount San Isidro,15.9907,120.1168,Philippines,Ilocos,770,0,mountain,1689627
Mount Conico,12.33614,122.58891,Philippines,Mimaropa,770,0,mountain,1716939
Mount Hingatungan,10.5919,125.1288,Philippines,Eastern Visayas,769,0,mountain,1711634
Mount Pelhi,10.20444,125.64028,Philippines,Caraga,769,0,mountain,1694106
Mount Alimutos,7.74779,125.3989,Philippines,Northern Mindanao,767,0,mountain,1996205
Mount Balintingan,15.26573,121.21788,Philippines,Central Luzon,766,0,mountain,1728057
Mount Pamucuban,13.1874,120.8583,Philippines,Mimaropa,762,0,mountain,1695827
Mount Sulatan,6.62522,124.35652,Philippines,Soccsksargen,758,0,mountain,7468154
Mount Lumobat,6.46778,125.44111,Philippines,Davao Region,758,0,mountain,6569770
Mount Cardoues,15.75,120.0868,Philippines,Central Luzon,756,0,mountain,1718423
Mount Bernacci,13.6092,122.9704,Philippines,Bicol Region,755,0,mountain,1725547
Mount Gambang,16.7527,120.524,Philippines,Ilocos,755,0,mountain,7612770
Navaro Peak,6.39193,125.00917,Philippines,Soccsksargen,753,0,mountain,1697869
Mount Sumadil,6.17889,125.67889,Philippines,Davao Region,752,0,mountain,1685350
Mount Balabag,10.43287,123.2912,Philippines,Western Visayas,750,0,mountain,1728657
Mount Baheli,9.98583,118.74194,Philippines,Mimaropa,750,0,mountain,1728822
Mount Apatani,16.2947,120.9832,Philippines,Cagayan Valley,750,0,mountain,1730392
Mount Mutbud,11.0656,122.2078,Philippines,Western Visayas,746,0,mountain,1699032
Mount Tiis,13.8293,123.5275,Philippines,Bicol Region,744,0,mountain,1682129
Mount Sembrano,14.3853,121.3655,Philippines,Calabarzon,743,0,mountain,1686994
Mount Calauhan,8.41222,125.42,Philippines,Caraga,743,0,mountain,1720463
Tandrac Peak,13.2685,120.7059,Philippines,Mimaropa,740,0,peak,1683270
Mount Jormajam,12.7586,124.0024,Philippines,Bicol Region,737,0,mountain,1710113
Pagoda Cliffs,8.72361,117.5006,Philippines,Mimaropa,736,0,mountain,1696552
Mount Tres Marias,9.19137,124.68571,Philippines,Northern Mindanao,731,0,mountain,1958928
Mount Lunas,10.25472,124.91583,Philippines,Eastern Visayas,729,0,mountain,1705081
Mount Baca,15.39378,121.20579,Philippines,Central Luzon,729,0,mountain,1729712
Mount Pina,11.22306,124.62333,Philippines,Eastern Visayas,728,0,mountain,1693736
Mount Cadig,14.15186,122.44429,Philippines,Calabarzon,726,0,mountain,1721183
Mount Lantalon,5.82583,125.55417,Philippines,Davao Region,725,0,mountain,1707453
Malabakid Hill,6.52194,125.36833,Philippines,Davao Region,724,0,mountain,1978509
Bear Peak,15.2384,120.0971,Philippines,Central Luzon,723,0,peak,1725658
Mount Camiguin,18.83361,121.86111,Philippines,Cagayan Valley,723,0,mountain,1719695
Mount Silingan,7.77583,122.50222,Philippines,Zamboanga Peninsula,722,0,mountain,1686480
Mount Maylaw,5.80694,125.52833,Philippines,Davao Region,721,0,mountain,1958802
Mount Corobong,6.83167,123.98667,Philippines,Autonomous Region in Muslim Mindanao,720,0,mountain,1716845
Mount Daraitan,14.6131,121.4388,Philippines,Calabarzon,719,0,mountain,1715498
Mount Dumali,13.1082,121.52032,Philippines,Mimaropa,716,0,mountain,1714178
Mount Oonooan,14.89933,121.22942,Philippines,Central Luzon,715,0,mountain,1697089
Mount Naparel,15.2193,120.1079,Philippines,Central Luzon,711,0,mountain,1698198
Mount Cabalalaan,7.15062,124.13309,Philippines,Autonomous Region in Muslim Mindanao,709,0,mountain,1721973
Mount Igbaon,10.827,122.1403,Philippines,Western Visayas,709,0,mountain,1711289
Mount Potol,11.8229,122.0253,Philippines,Western Visayas,709,0,mountain,1692830
Mount Taburub,18.01035,121.21401,Philippines,Cordillera,709,0,mountain,1684757
Mount Gonzales,14.14233,121.02174,Philippines,Calabarzon,709,0,mountain,1685268
Milas Peak,6.3538,124.87252,Philippines,Soccsksargen,706,0,mountain,1699711
Mount Giron,11.54889,124.52556,Philippines,Eastern Visayas,705,0,mountain,1712836
Mount Waranaktaha,7.72722,125.37528,Philippines,Northern Mindanao,702,0,mountain,1996212
Mount Biao,5.99,125.65389,Philippines,Davao Region,702,0,mountain,1725481
Mount Lomboy,16.4217,120.4972,Philippines,Cordillera,699,0,mountain,1705744
Mount Natalisbong,15.7468,120.0563,Philippines,Central Luzon,699,0,mountain,1698004
Mount Lahi,6.40685,126.18428,Philippines,Davao Region,698,0,mountain,1708000
Mount Tapian,13.4203,121.9883,Philippines,Mimaropa,698,0,mountain,1682948
Mount Nilayapan,7.70162,125.38028,Philippines,Northern Mindanao,696,0,mountain,1996217
Mount Paragpagan,13.0583,120.8255,Philippines,Mimaropa,696,0,mountain,1694797
Mount Silanguin,14.7755,120.17203,Philippines,Central Luzon,693,0,mountain,1686516
Mount Batulao,14.04736,120.80522,Philippines,Calabarzon,693,0,mountain,1726022
Mount Liguayen,13.6992,121.1884,Philippines,Calabarzon,692,0,mountain,1706446
Mount Paete,15.0445,120.1643,Philippines,Central Luzon,690,0,mountain,1696716
Mount Babuyan,19.538,121.91216,Philippines,Cagayan Valley,688,0,mountain,1729719
Mount Pico de Loro,14.2154,120.6512,Philippines,Calabarzon,688,0,mountain,1693952
Mount Nelangaapan,9.9329,125.26989,Philippines,Eastern Visayas,687,0,mountain,1697804
Mount Mactaon,11.63583,125.29056,Philippines,Eastern Visayas,683,0,mountain,1704244
Tupilac Peak,7.70186,122.35346,Philippines,Zamboanga Peninsula,683,0,peak,1680611
Mount Pigbaluyan,5.95361,125.6275,Philippines,Davao Region,682,0,mountain,1958793
Mount Maiyapay,8.87833,125.4675,Philippines,Caraga,675,0,mountain,1703464
Mount Ilian,10.43418,119.5458,Philippines,Mimaropa,675,0,mountain,1711088
Mount Agsam,6.12583,125.65167,Philippines,Davao Region,674,0,mountain,6569832
Mount Salungcatan,6.14333,125.67806,Philippines,Davao Region,670,0,mountain,6569828
Mount Tabacanon,6.36667,125.59639,Philippines,Davao Region,668,0,mountain,1684512
Tablas Summit,12.6488,122.1428,Philippines,Mimaropa,665,0,mountain,1684950
Mount Balocol,5.72778,125.45472,Philippines,Davao Region,664,0,mountain,1727924
Mount Catongohan,15.2388,120.0772,Philippines,Central Luzon,664,0,mountain,1717807
Mount Mangkirat,15.325,120.1494,Philippines,Central Luzon,664,0,mountain,1701775
Mount Kinawagan,7.67426,125.36867,Philippines,Northern Mindanao,663,0,mountain,1996223
Mount Caningan,10.0121,125.25362,Philippines,Eastern Visayas,662,0,mountain,1719116
Mount Patulangon,6.28222,125.63333,Philippines,Davao Region,662,0,mountain,1694298
Mount Abriringan,18.29967,122.26915,Philippines,Cagayan Valley,659,0,mountain,1732372
Mount Tunggol,6.03583,121.11667,Philippines,Autonomous Region in Muslim Mindanao,657,0,mountain,1957854
Mount Cagagangan,18.15238,122.17445,Philippines,Cagayan Valley,657,0,mountain,1721124
Mount Pimmayong,15.0302,120.1806,Philippines,Central Luzon,657,0,mountain,1693748
Mount Balunao,5.99333,125.67083,Philippines,Davao Region,654,0,mountain,1958790
Mount Atimbia,14.1491,121.3657,Philippines,Calabarzon,654,0,mountain,1729990
Balitan Hump,6.47444,125.35611,Philippines,Davao Region,654,0,mountain,6569760
Panangiran Peak,12.3985,121.2579,Philippines,Mimaropa,652,0,mountain,1695677
Mount Tachu,5.82194,125.35806,Philippines,Soccsksargen,652,0,mountain,1684721
Mount Panasugan,10.7294,124.874,Philippines,Eastern Visayas,651,0,mountain,1695634
Mount Matulid,14.88528,121.27889,Philippines,Calabarzon,651,0,mountain,1700219
Mount Tungo,11.8003,121.9583,Philippines,Western Visayas,648,0,mountain,1680657
Mount Musuan,7.87667,125.07,Philippines,Northern Mindanao,646,0,mountain,1699033
Benagongon Mountain,13.7979,120.2978,Philippines,Mimaropa,645,0,mountain,1725595
Mount Biaring,7.02056,124.21389,Philippines,Autonomous Region in Muslim Mindanao,644,0,mountain,1978280
Mount Dangulog,6.51194,125.34306,Philippines,Davao Region,642,0,mountain,1978480
Mount Pundaquit,14.90159,120.07163,Philippines,Central Luzon,642,0,mountain,1692470
Mount Tamboo,13.6844,124.1126,Philippines,Bicol Region,642,0,mountain,1683531
Lambuyao Mountain,8.40083,124.35778,Philippines,Northern Mindanao,642,0,mountain,6569717
Kabuludan Hump,6.48667,125.36444,Philippines,Davao Region,642,0,mountain,6569761
Mount Taginusa,6.34944,125.60389,Philippines,Davao Region,642,0,mountain,6569880
Mount Tundalara,12.0296,120.232,Philippines,Mimaropa,640,0,mountain,1680701
Mount Gaitan,7.61944,125.36222,Philippines,Davao Region,638,0,mountain,1996232
Mount Suguitan,13.8608,123.5658,Philippines,Bicol Region,635,0,mountain,1685467
Mount Malapantao,9.8961,122.6155,Philippines,Western Visayas,633,0,mountain,1703056
Pito del Carabao Mountain,6.25222,124.85535,Philippines,Soccsksargen,632,0,mountain,1693324
Mount Mohaji,6.56699,121.956,Philippines,Autonomous Region in Muslim Mindanao,631,0,mountain,1699426
Mount Pina,12.4355,121.378,Philippines,Mimaropa,630,0,mountain,1693735
Lamulas Mountain,6.23583,124.74611,Philippines,Soccsksargen,628,0,mountain,1978311
Mount Cabaun,14.81843,121.21826,Philippines,Calabarzon,628,0,mountain,1721479
Mount Malabahoc,9.18861,123.5825,Philippines,Central Visayas,628,0,mountain,1703361
Mount Baring,10.40999,119.5515,Philippines,Mimaropa,626,0,mountain,1726666
Mount Airy,9.95222,118.67528,Philippines,Mimaropa,626,0,mountain,1731777
Mount Kilatan,7.71229,125.38696,Philippines,Northern Mindanao,625,0,mountain,1996216
Disogsip Mountain,15.691,121.6061,Philippines,Central Luzon,625,0,mountain,1714639
Mount Mapatad,14.6892,121.271,Philippines,Calabarzon,625,0,mountain,1701273
Mount Tristan,10.1379,125.6374,Philippines,Caraga,625,0,mountain,1681302
Tigmaola Hill,11.0732,122.1809,Philippines,Western Visayas,624,0,mountain,1682187
Mount Ruparan,6.82556,125.33444,Philippines,Davao Region,622,0,mountain,1691409
Mount Mangatarem,15.8901,120.1034,Philippines,Ilocos,618,0,mountain,1701821
Mount Canapauan,18.18208,122.22835,Philippines,Cagayan Valley,613,0,mountain,1719435
Mount Nazasa,14.83889,120.10313,Philippines,Central Luzon,612,0,mountain,1697825
Mount Matanal,6.61699,122.30195,Philippines,Autonomous Region in Muslim Mindanao,611,0,mountain,1700450
Mount Redondo,14.83719,120.18513,Philippines,Central Luzon,611,0,mountain,1691790
Mount Ambonong,13.76036,120.17832,Philippines,Mimaropa,610,0,mountain,7567474
Mount Malemod,14.7579,121.22932,Philippines,Calabarzon,608,0,mountain,1702864
Base Peak,6.24535,125.14749,Philippines,Soccsksargen,606,0,peak,1726439
Mount Abunabun,7.46806,124.17944,Philippines,Autonomous Region in Muslim Mindanao,606,0,mountain,1732329
Bay Peak,10.683,119.3643,Philippines,Mimaropa,604,0,peak,1725714
Mount Kaladis,7.57861,122.96417,Philippines,Zamboanga Peninsula,604,0,mountain,1709743
Mount Uac,12.20735,123.65991,Philippines,Bicol Region,604,0,mountain,1680513
Mount Banjao,11.8171,122.0491,Philippines,Western Visayas,602,0,mountain,1727154
Mount Carranglan,15.9226,121.0242,Philippines,Central Luzon,602,0,mountain,1718265
Triple Peak,12.40631,122.06736,Philippines,Mimaropa,601,0,mountain,1681305
Mount Dajo,6.01306,121.05833,Philippines,Autonomous Region in Muslim Mindanao,600,0,mountain,1716144
Conical Peak,12.4019,123.4713,Philippines,Bicol Region,600,0,mountain,1716943
Triple Peak,13.7195,123.8078,Philippines,Bicol Region,599,0,mountain,1681304
Mount Taltak,5.61444,125.33083,Philippines,Soccsksargen,598,0,mountain,1683734
Mount Lagit,18.12668,122.15175,Philippines,Cagayan Valley,596,0,mountain,1708114
Mount Quinasagan,10.4612,124.8822,Philippines,Eastern Visayas,596,0,mountain,1692059
Mount Miganangan,7.83156,125.36892,Philippines,Northern Mindanao,595,0,mountain,1996194
Mount Lumot,15.06494,121.10524,Philippines,Central Luzon,595,0,mountain,1705130
Mount Cruz,14.94472,121.16996,Philippines,Central Luzon,595,0,mountain,1716689
Suwaon Mountain,7.74139,125.60111,Philippines,Davao Region,593,0,mountain,1996362
Mount Calolocob,18.19857,122.22915,Philippines,Cagayan Valley,593,0,mountain,1720170
Mount Sandang,6.41959,124.08257,Philippines,Soccsksargen,592,0,mountain,1966125
Mount Cobung,6.57333,122.18167,Philippines,Autonomous Region in Muslim Mindanao,592,0,mountain,1717305
Mount Maanga,10.9543,124.4934,Philippines,Eastern Visayas,591,0,mountain,1704789
Mount Dangulog,6.49583,125.33972,Philippines,Davao Region,591,0,mountain,6569757
Mount Kalipapa,6.86583,124.27917,Philippines,Autonomous Region in Muslim Mindanao,590,0,mountain,1709610
Mount Bagsak,6.02806,121.13944,Philippines,Autonomous Region in Muslim Mindanao,590,0,mountain,1728994
Mount Janlog,10.24778,124.85,Philippines,Eastern Visayas,587,0,mountain,1710285
Susong Dalaga Mountain,15.6602,121.607,Philippines,Central Luzon,587,0,mountain,7418923
Sharp Peak,13.6221,124.1331,Philippines,Bicol Region,585,0,mountain,1686913
Mount San Antonio,13.3892,121.9529,Philippines,Mimaropa,585,0,mountain,1690287
Mount Palaupau,12.5825,122.0509,Philippines,Mimaropa,585,0,mountain,1696183
Mount Libuan,7.77949,125.39171,Philippines,Northern Mindanao,584,0,mountain,1996199
Mount Olagusan,7.8927,125.9552,Philippines,Davao Region,584,0,mountain,1697242
Mount Yaua,12.149,125.0263,Philippines,Eastern Visayas,583,0,mountain,1679501
Guinsiliban Peak,9.1,124.76667,Philippines,Northern Mindanao,581,0,peak,1958954
Mount Bagulipat,12.22214,123.66731,Philippines,Bicol Region,581,0,mountain,1728913
Mount Williams,15.8677,120.9709,Philippines,Central Luzon,578,0,mountain,1679575
Mount Catmon,8.048,123.8786,Philippines,Northern Mindanao,577,0,mountain,1717834
Mount Table,7.46306,124.79833,Philippines,Soccsksargen,576,0,mountain,1684949
Mount Cabulugan,14.11822,121.21394,Philippines,Calabarzon,576,0,mountain,7407460
Mount Silangan,6.29333,125.61861,Philippines,Davao Region,574,0,mountain,6569856
Mount Cabatangan,11.07603,122.35271,Philippines,Western Visayas,570,0,mountain,7412508
Bunhlo Hill,15.3183,120.1282,Philippines,Central Luzon,570,0,mountain,7616191
Mount Bayawa,5.8125,125.55111,Philippines,Davao Region,569,0,mountain,1958801
Mount Calaninan,10.45833,124.84,Philippines,Eastern Visayas,569,0,mountain,1720603
Balabac Peak,7.924,117.0525,Philippines,Mimaropa,569,0,mountain,1728671
Mount Dangulao,11.094,122.1481,Philippines,Western Visayas,567,0,mountain,1715688
Mount Tala,6.32222,125.60889,Philippines,Davao Region,567,0,mountain,6569851
Mount Bulibu,7.7036,123.1769,Philippines,Zamboanga Peninsula,566,0,mountain,1722895
Mount Botolan,15.23276,120.04278,Philippines,Central Luzon,563,0,mountain,1723821
Mount Piluca,15.0585,120.2208,Philippines,Central Luzon,562,0,mountain,1693754
Mount Caloumutan,12.5928,123.9908,Philippines,Bicol Region,559,0,mountain,1720162
Mount Tubuan,7.00139,124.01389,Philippines,Autonomous Region in Muslim Mindanao,558,0,mountain,1681103
Mount Iriga,13.4549,123.458,Philippines,Bicol Region,557,0,mountain,1710543
Mount Tincugan,14.98026,121.14586,Philippines,Central Luzon,555,0,mountain,1681878
Mount Lagman,5.75,125.49361,Philippines,Davao Region,552,0,mountain,1958816
Mount Tanganhin,11.2323,122.3781,Philippines,Western Visayas,552,0,mountain,1683223
Kayparet Mountain,13.8138,120.2994,Philippines,Mimaropa,552,0,mountain,7566857
Shark Fin Peak,11.05722,119.46333,Philippines,Mimaropa,551,0,mountain,1686930
Mount Purro,14.6988,121.2354,Philippines,Calabarzon,550,0,mountain,1692355
Mount Buga,7.5957,123.275,Philippines,Zamboanga Peninsula,549,0,mountain,1723348
Mount Lanas,10.27518,123.733,Philippines,Central Visayas,549,0,mountain,1707661
Mount Malac,14.79206,121.22364,Philippines,Calabarzon,548,0,mountain,1703295
Mount Dapiak,8.2255,123.4259,Philippines,Zamboanga Peninsula,547,0,mountain,1715548
Mount Mapusuan,11.2906,122.3583,Philippines,Western Visayas,547,0,mountain,7412481
Double Peak,8.72321,117.42449,Philippines,Mimaropa,544,0,mountain,1714362
Mount Progreso,12.5784,122.0952,Philippines,Mimaropa,544,0,mountain,1692753
